,Hokkaido,Osaka,Tokushima,Nagasaki,Niigata,Hyogo,Ishikawa,Nagano,Tottori,Gunma,Oita,Saitama,Toyama,Akita,Wakayama,Kochi,Miyagi,Tokyo,Kanagawa,Fukuoka,Yamanashi,Aichi,Iwate,Unknown,Okayama,Nara,Mie,Kagawa,Miyazaki,Aomori,Shizuoka,Yamagata,Kumamoto,Hiroshima,Yamaguchi,Tochigi,Kagoshima,Chiba,Saga,Gifu,Okinawa,Shimane,Fukui,Ehime,Kyoto,Shiga,Fukushima,Ibaraki
2019-07-01 11:00:00,6,12,1,2,1,5,0,2,0,1,1,6,0,1,0,0,0,23,11,4,1,4,0,0,0,1,2,1,1,1,5,1,4,1,1,2,2,3,0,0,1,0,0,1,3,0,1,5
2019-07-01 12:00:00,16,7,0,0,0,6,0,0,0,0,0,3,0,0,3,0,0,14,8,5,0,7,0,6,0,0,0,0,4,1,5,0,3,2,1,1,7,7,1,3,1,1,0,1,3,1,5,4
2019-07-01 13:00:00,2,2,0,0,2,3,0,4,0,0,1,7,0,0,1,0,0,12,7,3,0,3,0,0,2,0,0,0,1,0,0,0,2,1,1,0,1,2,0,1,0,0,0,1,3,0,0,4
2019-07-01 14:00:00,3,8,0,3,0,3,0,1,0,0,0,1,0,0,2,1,0,15,6,1,0,6,1,0,1,0,1,2,1,0,7,0,0,0,0,1,4,3,1,0,0,1,0,2,1,0,1,2
2019-07-01 15:00:00,3,9,0,3,1,2,0,0,0,1,1,1,0,0,0,0,0,8,1,5,0,2,0,0,0,0,1,1,0,1,6,0,2,0,1,1,0,3,1,1,0,0,0,1,2,0,1,2
2019-07-01 16:00:00,2,1,0,0,0,2,0,0,3,1,0,2,0,2,1,1,0,17,6,4,0,4,1,0,0,3,0,2,1,0,0,0,3,2,1,1,0,2,0,0,0,3,0,0,1,0,1,0
2019-07-01 17:00:00,2,8,0,1,2,1,0,0,0,0,0,5,0,0,1,0,1,8,4,1,0,0,0,0,0,2,0,0,0,0,4,1,1,2,2,1,3,4,0,1,3,0,0,1,1,0,0,2
2019-07-01 18:00:00,3,6,0,7,1,4,0,0,1,1,2,1,0,1,1,0,0,15,8,12,0,6,0,1,1,0,1,0,2,0,5,0,2,4,1,3,1,1,0,1,1,0,2,2,1,1,3,1
2019-07-01 19:00:00,1,3,0,1,2,3,0,2,0,1,0,1,0,0,0,0,2,13,3,8,0,6,0,0,0,1,3,0,2,1,3,0,3,3,0,3,6,3,2,0,0,0,0,0,1,1,3,3
2019-07-01 20:00:00,1,2,0,4,0,2,1,1,0,2,1,3,0,0,0,1,1,20,3,5,0,3,0,2,1,1,10,0,0,0,5,0,2,1,1,0,6,4,1,0,0,0,0,3,2,1,0,1
2019-07-01 21:00:00,2,3,0,1,3,1,0,1,0,0,0,4,0,0,5,1,1,16,5,9,0,7,1,0,2,1,11,1,0,0,2,0,4,4,1,0,3,4,0,0,0,0,0,2,2,0,1,0
2019-07-01 22:00:00,3,7,0,2,0,4,0,1,0,1,0,3,0,0,1,3,0,14,7,10,0,2,0,1,0,1,0,2,0,0,4,0,1,1,1,1,3,1,0,0,1,0,0,0,3,1,2,1
2019-07-01 23:00:00,1,2,0,2,1,0,0,1,0,0,2,0,1,0,1,0,0,7,2,2,1,3,0,0,0,1,0,0,0,0,0,0,3,1,0,0,2,2,1,0,2,0,0,1,2,0,0,1
2019-07-02 00:00:00,0,3,0,2,0,3,0,0,0,0,0,1,0,0,0,2,0,8,4,4,0,1,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
2019-07-02 01:00:00,1,2,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,2,1,1,3,0,0,0,0,0,1,1,0,0
2019-07-02 02:00:00,0,0,0,0,1,1,1,0,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,0,0,0,1
2019-07-02 03:00:00,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2019-07-02 04:00:00,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,3,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,3
2019-07-02 05:00:00,4,3,1,1,0,2,0,1,0,1,0,3,1,0,0,2,0,9,12,1,1,3,0,1,1,0,1,0,0,0,4,0,0,0,0,1,1,4,1,2,0,0,1,1,1,2,1,2
2019-07-02 06:00:00,10,18,1,0,1,5,0,0,0,2,3,6,1,0,1,0,0,23,9,4,0,7,2,2,0,5,0,1,2,0,8,0,1,2,0,1,4,8,0,4,1,1,0,4,3,4,0,3
2019-07-02 07:00:00,9,36,3,1,2,7,0,0,0,4,0,8,1,0,6,1,4,29,17,5,1,15,0,1,4,13,4,2,3,2,8,1,3,5,0,3,10,8,1,0,0,1,0,2,6,7,2,5
2019-07-02 08:00:00,11,20,6,2,0,6,0,3,1,2,1,7,1,0,3,2,1,25,7,4,0,9,0,2,5,0,1,4,1,0,6,0,6,2,0,1,2,4,1,2,0,0,0,2,8,0,4,1
2019-07-02 09:00:00,10,10,1,0,0,2,0,0,0,2,3,2,1,1,1,1,0,22,4,8,0,10,0,2,1,3,2,1,1,0,5,0,2,0,2,1,3,4,0,0,0,0,0,3,0,0,0,0
2019-07-02 10:00:00,7,6,0,1,1,4,0,1,4,1,1,2,0,0,1,1,0,10,5,4,1,5,0,0,1,1,0,2,1,2,5,0,3,1,0,1,0,1,0,1,0,3,0,1,1,1,2,2
2019-07-02 11:00:00,5,6,0,1,1,1,0,2,1,3,2,3,0,0,0,0,0,9,3,3,0,2,0,0,0,0,0,1,1,0,8,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,3
2019-07-02 12:00:00,4,6,0,0,2,3,1,0,0,1,1,4,1,0,2,2,0,12,3,3,1,6,0,1,2,1,0,1,0,0,3,0,3,2,0,1,3,4,0,0,0,0,0,1,1,1,1,2
2019-07-02 13:00:00,2,4,0,2,2,0,1,0,1,2,0,3,0,0,1,1,0,7,5,0,0,1,1,0,1,3,2,1,1,0,3,0,2,1,0,0,0,3,1,0,0,0,1,0,4,0,0,1
2019-07-02 14:00:00,7,5,0,1,0,1,0,1,0,0,2,2,0,0,0,0,0,7,4,2,0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,0,1,2,0,0,0,0,1,0,1,0,1,2
2019-07-02 15:00:00,13,3,0,0,0,1,0,0,0,0,1,3,1,0,1,1,1,6,5,2,0,3,0,0,0,0,0,2,1,3,1,0,1,0,0,0,2,0,1,2,0,1,0,1,2,0,1,2
