experiment,modelname,twitter,MSE,RMSE,MAE,MAPE
typhoon-outflow,Transformer,(w/o twitter),17340539.38,4164.197327,1334.654126,17.56616475
covid-inflow,STGCN,(w/o twitter),3498975.26,1870.5548,690.1561411,11.55977286
covid-inflow,DCRNN,(w/o twitter),2162409.782,1470.513442,469.8312207,9.505801387
covid-inflow,GraphWaveNet,(w/o twitter),1885897.064,1373.279674,521.8828226,11.88049545
covid-inflow,ASTGCN,(w/o twitter),1350914.931,1162.288661,388.5603617,8.424317273
covid-inflow,ASTGCN (Hour),(w/o twitter),2901331.484,1703.329529,736.3325304,17.8377712
covid-inflow,LSTNet,(w/o twitter),1657461.159,1287.424234,471.1404143,8.948145803
covid-inflow,GMAN,(w/o twitter),793708.3428,890.9031051,366.7624929,7.183653259
covid-inflow,MTGNN,(w/o twitter),1649984.687,1284.517297,501.3961664,9.662062376
covid-inflow,AGCRN,(w/o twitter),1670683.037,1292.549046,480.7424231,10.18771825
covid-inflow,Transformer,(w/o twitter),3419986.271,1849.320489,626.5801207,11.05406686
covid-outflow,STGCN,(w/o twitter),2604348.567,1613.79942,630.0760476,10.42496637
covid-outflow,DCRNN,(w/o twitter),3384500.686,1839.701249,573.4091151,11.04249389
covid-outflow,GraphWaveNet,(w/o twitter),1758506.539,1326.086927,531.7924854,11.08110474
covid-outflow,ASTGCN,(w/o twitter),1252631.998,1119.210435,393.3395672,8.320580977
covid-outflow,ASTGCN (Hour),(w/o twitter),2617366.702,1617.827773,732.0971305,18.19902988
covid-outflow,LSTNet,(w/o twitter),1842757.008,1357.481863,518.2741584,11.50773615
covid-outflow,GMAN,(w/o twitter),893230.7348,945.1088481,408.1477635,7.585111851
covid-outflow,MTGNN,(w/o twitter),1646585.202,1283.193361,513.228661,9.995475407
covid-outflow,AGCRN,(w/o twitter),1328211.943,1152.480778,458.3720612,9.928684687
covid-outflow,Transformer,(w/o twitter),2979547.603,1726.136612,628.6445032,11.74427655
